     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
   -14.30196    -0.09579    -0.00338    -0.00011    -0.00338    -0.00148    -0.00001    -0.00041    -0.00001    -0.00148    -0.10606
   -14.23196    -0.09504    -0.00422    -0.00012    -0.00422    -0.00192    -0.00002    -0.00045    -0.00002    -0.00192    -0.10792
   -14.16196    -0.09678    -0.00535    -0.00013    -0.00535    -0.00252    -0.00003    -0.00051    -0.00003    -0.00252    -0.11323
   -14.09196    -0.08817    -0.00603    -0.00013    -0.00603    -0.00296    -0.00003    -0.00052    -0.00003    -0.00296    -0.10686
   -14.02196    -0.07656    -0.00636    -0.00011    -0.00636    -0.00326    -0.00003    -0.00051    -0.00003    -0.00326    -0.09647
   -13.95196    -0.03900    -0.00374    -0.00006    -0.00374    -0.00200    -0.00002    -0.00028    -0.00002    -0.00200    -0.05087
   -13.88196    -0.05529    -0.00566    -0.00009    -0.00566    -0.00304    -0.00004    -0.00041    -0.00004    -0.00304    -0.07327
   -13.81196    -0.06660    -0.00796    -0.00012    -0.00796    -0.00445    -0.00005    -0.00055    -0.00005    -0.00445    -0.09219
   -13.74196    -0.06693    -0.00945    -0.00012    -0.00945    -0.00553    -0.00007    -0.00061    -0.00007    -0.00553    -0.09775
   -13.67196    -0.03855    -0.00615    -0.00008    -0.00615    -0.00377    -0.00005    -0.00037    -0.00005    -0.00377    -0.05895
   -13.60196    -0.05535    -0.01000    -0.00011    -0.01000    -0.00629    -0.00008    -0.00059    -0.00008    -0.00629    -0.08877
   -13.53196    -0.05553    -0.01168    -0.00012    -0.01168    -0.00762    -0.00011    -0.00063    -0.00011    -0.00762    -0.09510
   -13.46196    -0.03066    -0.00728    -0.00476    -0.00728    -0.00491    -0.00010    -0.00036    -0.00010    -0.00491    -0.06038
   -13.39196    -0.02694    -0.00619    -0.19428    -0.00619    -0.00431    -0.00359    -0.00031    -0.00359    -0.00431    -0.24969
   -13.32196    -0.04764    -0.01353    -0.08484    -0.01353    -0.00962    -0.00837    -0.00062    -0.00837    -0.00962    -0.19613
   -13.25196    -0.04143    -0.01380    -0.14070    -0.01380    -0.01024    -0.01178    -0.00057    -0.01178    -0.01024    -0.25435
   -13.18196    -0.03270    -0.01259    -0.10116    -0.01259    -0.00974    -0.01702    -0.00047    -0.01702    -0.00974    -0.21303
   -13.11196    -0.02858    -0.01263    -0.07833    -0.01263    -0.01011    -0.02293    -0.00043    -0.02293    -0.01011    -0.19869
   -13.04196    -0.03312    -0.01718    -0.06519    -0.01718    -0.01401    -0.02939    -0.00052    -0.02939    -0.01401    -0.22000
   -12.97196    -0.03042    -0.01909    -0.05283    -0.01909    -0.01618    -0.03291    -0.00050    -0.03291    -0.01618    -0.22011
   -12.90196    -0.03015    -0.02320    -0.04353    -0.02320    -0.02064    -0.03621    -0.00049    -0.03621    -0.02064    -0.23427
   -12.83196    -0.03018    -0.02938    -0.04155    -0.02938    -0.02717    -0.04764    -0.00048    -0.04764    -0.02717    -0.28058
   -12.76196    -0.10617    -0.13554    -0.03108    -0.13554    -0.13248    -0.05019    -0.00149    -0.05019    -0.13248    -0.77516
   -12.69196    -0.05061    -0.08976    -0.03231    -0.08976    -0.08532    -0.07215    -0.00079    -0.07215    -0.08532    -0.57817
   -12.62196    -0.02848    -0.08859    -0.02332    -0.08859    -0.08235    -0.08124    -0.00051    -0.08124    -0.08235    -0.55667
   -12.55196    -0.01350    -0.14445    -0.03285    -0.14445    -0.13383    -0.23910    -0.00027    -0.23910    -0.13383    -1.08138
   -12.48196    -0.00120    -0.05430    -0.03537    -0.05430    -0.05046    -0.38850    -0.00002    -0.38850    -0.05046    -1.02311
   -12.41196    -0.00017    -0.00067    -0.01253    -0.00067    -0.00064    -0.32760    -0.00000    -0.32760    -0.00064    -0.67051
   -12.34196    -0.00001    -0.00011    -0.00138    -0.00011    -0.00010    -0.25812    -0.00000    -0.25812    -0.00010    -0.51805
   -12.27196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.20196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.13196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.06196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.99196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.92196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.85196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.78196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.71196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.64196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.57096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.50096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.43096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.36096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.29096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.22096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.15096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.08096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.01096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.94096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.87096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.80096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.73096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.66096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.59096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.52096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.45096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.38096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.31096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.24096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.17096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.10096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.03096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.96096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.89096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.82096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.75096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.68096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.61096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.54096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.47096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.40096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.33096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.26096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.19096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.12096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.05096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.98096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.91096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.84096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.77096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.70096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.62996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.55996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.48996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.41996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.34996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.27996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.20996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.13996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.06996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.99996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.92996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.85996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.78996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.71996     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
