#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   1.62283    -12.604898  0.653  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.666
   1.64218    -12.594627  0.655  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.666
   1.66152    -12.585028  0.656  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.666
   1.68087    -12.576219  0.655  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.667
   1.70021    -12.568313  0.656  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.668
   1.71956    -12.561428  0.657  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.73890    -12.555685  0.657  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.668
   1.75825    -12.551202  0.658  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.77759    -12.548098  0.658  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.670
   1.79694    -12.546530  0.657  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.79694    -12.546530  0.657  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.83563    -12.553149  0.658  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.87432    -12.567280  0.656  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.667
   1.91301    -12.589424  0.654  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.666
   1.95170    -12.620035  0.652  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.664
   1.99039    -12.659381  0.651  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.663
   2.02908    -12.707514  0.646  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.659
   2.06776    -12.764279  0.642  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   2.10645    -12.829301  0.638  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.651
   2.14514    -12.902019  0.634  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.646
   2.18383    -12.981699  0.628  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.641
