     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
   -12.20196    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -12.13196    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -12.06196    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.99196    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.92196    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.85196    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.78196    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.71196    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.64196    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.57096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.50096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.43096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.36096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.29096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.22096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.15096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.08096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -11.01096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.94096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
