#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   1.62283    -12.604898  0.004  0.023  0.000  0.033  0.030  0.000  0.000  0.000  0.022  0.114
   1.64218    -12.594627  0.003  0.024  0.000  0.032  0.030  0.000  0.000  0.000  0.022  0.114
   1.66152    -12.585028  0.003  0.024  0.000  0.032  0.030  0.000  0.000  0.000  0.023  0.114
   1.68087    -12.576219  0.002  0.025  0.000  0.032  0.029  0.000  0.000  0.000  0.024  0.114
   1.70021    -12.568313  0.002  0.026  0.000  0.032  0.029  0.000  0.000  0.000  0.024  0.114
   1.71956    -12.561428  0.001  0.027  0.000  0.031  0.029  0.000  0.000  0.000  0.025  0.114
   1.73890    -12.555685  0.000  0.027  0.000  0.031  0.029  0.000  0.000  0.000  0.025  0.115
   1.75825    -12.551202  0.000  0.028  0.000  0.030  0.028  0.000  0.000  0.000  0.027  0.115
   1.77759    -12.548098  0.000  0.028  0.000  0.030  0.028  0.000  0.000  0.000  0.026  0.113
   1.79694    -12.546530  0.000  0.030  0.000  0.030  0.028  0.000  0.000  0.000  0.028  0.114
   1.79694    -12.546530  0.000  0.030  0.000  0.030  0.028  0.000  0.000  0.000  0.028  0.114
   1.83563    -12.553149  0.000  0.027  0.000  0.032  0.029  0.000  0.000  0.000  0.026  0.114
   1.87432    -12.567280  0.000  0.024  0.000  0.034  0.030  0.000  0.000  0.000  0.024  0.114
   1.91301    -12.589424  0.003  0.022  0.000  0.036  0.032  0.000  0.000  0.000  0.021  0.114
   1.95170    -12.620035  0.006  0.021  0.000  0.036  0.032  0.000  0.000  0.000  0.021  0.113
   1.99039    -12.659381  0.008  0.018  0.000  0.038  0.033  0.000  0.000  0.000  0.018  0.113
   2.02908    -12.707514  0.012  0.015  0.000  0.039  0.032  0.000  0.000  0.000  0.017  0.113
   2.06776    -12.764279  0.015  0.012  0.000  0.039  0.030  0.000  0.000  0.000  0.015  0.114
   2.10645    -12.829301  0.020  0.012  0.000  0.039  0.030  0.000  0.000  0.000  0.012  0.114
   2.14514    -12.902019  0.024  0.009  0.000  0.039  0.029  0.000  0.000  0.000  0.012  0.114
   2.18383    -12.981699  0.030  0.009  0.000  0.039  0.027  0.000  0.000  0.000  0.009  0.114
   2.22252    -13.067467  0.036  0.006  0.000  0.036  0.024  0.000  0.000  0.000  0.009  0.114
   2.26121    -13.158330  0.042  0.006  0.000  0.036  0.024  0.000  0.000  0.000  0.009  0.114
   2.29990    -13.253270  0.048  0.003  0.000  0.033  0.021  0.000  0.000  0.000  0.006  0.115
   2.33859    -13.351246  0.054  0.003  0.000  0.033  0.021  0.000  0.000  0.000  0.006  0.116
   2.37728    -13.451190  0.060  0.003  0.000  0.030  0.018  0.000  0.000  0.000  0.006  0.117
   2.41597    -13.552063  0.066  0.003  0.000  0.028  0.015  0.000  0.000  0.000  0.003  0.117
   2.45466    -13.652873  0.072  0.003  0.000  0.027  0.015  0.000  0.000  0.000  0.003  0.117
   2.49335    -13.752679  0.078  0.000  0.000  0.024  0.012  0.000  0.000  0.000  0.003  0.118
   2.53204    -13.850602  0.083  0.000  0.000  0.021  0.012  0.000  0.000  0.000  0.003  0.120
   2.57073    -13.945828  0.087  0.000  0.000  0.019  0.009  0.000  0.000  0.000  0.003  0.120
   2.60942    -14.037594  0.093  0.000  0.000  0.018  0.009  0.000  0.000  0.000  0.000  0.120
   2.64811    -14.125193  0.098  0.000  0.000  0.015  0.006  0.000  0.000  0.000  0.000  0.122
   2.68680    -14.208002  0.102  0.000  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.123
   2.72549    -14.285451  0.106  0.000  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.123
   2.76418    -14.357038  0.111  0.000  0.000  0.009  0.003  0.000  0.000  0.000  0.000  0.123
   2.80287    -14.422282  0.114  0.000  0.000  0.006  0.003  0.000  0.000  0.000  0.000  0.125
   2.84156    -14.480781  0.117  0.000  0.000  0.006  0.003  0.000  0.000  0.000  0.000  0.126
   2.88025    -14.532187  0.120  0.000  0.000  0.003  0.003  0.000  0.000  0.000  0.000  0.126
   2.91894    -14.576192  0.122  0.000  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.126
   2.95763    -14.612559  0.123  0.000  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.126
   2.99632    -14.641061  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   3.03501    -14.661535  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   3.07370    -14.673861  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.127
   3.11239    -14.677967  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.127
 
# Band-Index:    2
   3.11239    -14.578634  0.131  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.133
   3.07370    -14.574553  0.131  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.133
   3.03501    -14.562332  0.130  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.133
   2.99632    -14.542046  0.129  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.132
   2.95763    -14.513818  0.128  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.131
   2.91894    -14.477813  0.125  0.000  0.000  0.003  0.001  0.000  0.000  0.000  0.000  0.131
   2.88025    -14.434248  0.123  0.000  0.000  0.004  0.002  0.000  0.000  0.000  0.000  0.131
