#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   1.19725    -12.810847  0.642  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.653
   1.21659    -12.807646  0.642  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.653
   1.23594    -12.803558  0.642  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.653
   1.25528    -12.798607  0.642  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.653
   1.27463    -12.792821  0.642  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.656
   1.29397    -12.786229  0.643  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.656
   1.31332    -12.778869  0.645  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.656
   1.33266    -12.770782  0.645  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.656
   1.35201    -12.762015  0.645  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.656
   1.37135    -12.752619  0.645  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.657
   1.39070    -12.742649  0.647  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.657
   1.41004    -12.732164  0.647  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.658
   1.42939    -12.721232  0.648  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.658
   1.44873    -12.709921  0.649  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.660
   1.46807    -12.698307  0.648  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.661
   1.48742    -12.686470  0.649  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.660
   1.50676    -12.674493  0.650  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.660
   1.52611    -12.662463  0.651  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.662
   1.54545    -12.650474  0.651  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.662
   1.56480    -12.638620  0.651  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.664
   1.58414    -12.627003  0.651  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.665
   1.60349    -12.615724  0.654  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.664
   1.62283    -12.604897  0.653  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.666
   1.64218    -12.594626  0.655  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.666
   1.66152    -12.585027  0.656  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.666
   1.68087    -12.576219  0.655  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.667
   1.70021    -12.568312  0.656  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.668
   1.71956    -12.561428  0.657  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.73890    -12.555684  0.657  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.668
   1.75825    -12.551201  0.658  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.77759    -12.548098  0.658  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.670
   1.79694    -12.546529  0.657  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.79694    -12.546529  0.657  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.83563    -12.553148  0.658  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.87432    -12.567279  0.656  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.667
   1.91301    -12.589424  0.654  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.666
